"","scroll_type","scroll_time","scroll_depth","scroll_duration","subj_id","expt_condition","scroll_time_norm"
"50","down",23.1342000000179,1,-80600.465799994,"5ed4954aea62124652e189c9_1649962444265","heading",0.040828132941806
"51","down",23.184,2,0.0497999999821204,"5ed4954aea62124652e189c9_1649962444265","heading",0.0409160219122381
"52","down",31.1187000000179,3,7.93470000001788,"5ed4954aea62124652e189c9_1649962444265","heading",0.0549194880556028
"53","down",31.168,4,0.049299999982118,"5ed4954aea62124652e189c9_1649962444265","heading",0.0550064946066527
"54","down",37.101900000006,5,5.93390000000596,"5ed4954aea62124652e189c9_1649962444265","heading",0.065478871350324
"55","down",37.135900000006,6,0.0339999999999989,"5ed4954aea62124652e189c9_1649962444265","heading",0.0655388758683112
"56","down",46.670099999994,7,9.53419999998808,"5ed4954aea62124652e189c9_1649962444265","heading",0.0823652016151699
"57","down",46.703599999994,8,0.0335000000000036,"5ed4954aea62124652e189c9_1649962444265","heading",0.082424323713775
"58","down",53.021900000006,9,6.31830000001192,"5ed4954aea62124652e189c9_1649962444265","heading",0.0935751044784654
"59","down",53.054400000006,10,0.0324999999999989,"5ed4954aea62124652e189c9_1649962444265","heading",0.0936324617383061
"60","down",62.938099999994,11,9.88369999998807,"5ed4954aea62124652e189c9_1649962444265","heading",0.111075598633298
"61","down",62.971400000006,12,0.0333000000119199,"5ed4954aea62124652e189c9_1649962444265","heading",0.111134367764172
"62","down",70.373599999994,13,7.40219999998808,"5ed4954aea62124652e189c9_1649962444265","heading",0.124198057265478
"63","down",70.4058000000119,14,0.0322000000178804,"5ed4954aea62124652e189c9_1649962444265","heading",0.124254885073721
"64","down",79.389900000006,15,8.98409999999404,"5ed4954aea62124652e189c9_1649962444265","heading",0.140110373016332
"65","down",79.4237000000179,16,0.0338000000119223,"5ed4954aea62124652e189c9_1649962444265","heading",0.140170024566587
"66","down",85.3237000000179,17,5.89999999999999,"5ed4954aea62124652e189c9_1649962444265","heading",0.150582573276137
"67","down",85.357099999994,18,0.0333999999761545,"5ed4954aea62124652e189c9_1649962444265","heading",0.150641518890824
"68","down",93.124599999994,19,7.76750000000001,"5ed4954aea62124652e189c9_1649962444265","heading",0.164349903992761
"69","down",93.158,20,0.0334000000059547,"5ed4954aea62124652e189c9_1649962444265","heading",0.1644088496075
"70","up",94.9083000000119,19,1.75030000001192,"5ed4954aea62124652e189c9_1649962444265","heading",0.167497846896729
"71","up",94.9247000000179,18,0.0164000000059588,"5ed4954aea62124652e189c9_1649962444265","heading",0.167526790252474
"72","up",94.9583000000119,17,0.0335999999940384,"5ed4954aea62124652e189c9_1649962444265","heading",0.167586088834945
"73","up",94.974900000006,16,0.0165999999940425,"5ed4954aea62124652e189c9_1649962444265","heading",0.167615385158422
"74","up",94.9913000000119,15,0.0164000000059588,"5ed4954aea62124652e189c9_1649962444265","heading",0.167644328514168
"75","up",95.0248000000119,14,0.0335000000000036,"5ed4954aea62124652e189c9_1649962444265","heading",0.167703450612773
"76","up",95.7583000000119,13,0.733499999999992,"5ed4954aea62124652e189c9_1649962444265","heading",0.168997959846409
"77","up",95.7753000000119,12,0.0170000000000101,"5ed4954aea62124652e189c9_1649962444265","heading",0.169027962105403
"78","up",95.791599999994,11,0.0162999999821096,"5ed4954aea62124652e189c9_1649962444265","heading",0.16905672897723
"79","up",95.8082000000179,10,0.0166000000238427,"5ed4954aea62124652e189c9_1649962444265","heading",0.16908602530076
"80","up",95.8248000000119,9,0.0165999999940425,"5ed4954aea62124652e189c9_1649962444265","heading",0.169115321624237
"81","up",95.841599999994,8,0.0167999999821262,"5ed4954aea62124652e189c9_1649962444265","heading",0.169144970915447
"82","up",95.8583000000119,7,0.0167000000178774,"5ed4954aea62124652e189c9_1649962444265","heading",0.169174443722843
"83","up",95.8913000000119,6,0.0330000000000013,"5ed4954aea62124652e189c9_1649962444265","heading",0.169232683402065
"84","up",96.408099999994,5,0.516799999982112,"5ed4954aea62124652e189c9_1649962444265","heading",0.17014475207544
"85","up",96.441599999994,4,0.0335000000000036,"5ed4954aea62124652e189c9_1649962444265","heading",0.170203874174045
"86","up",96.4583000000119,3,0.0167000000178774,"5ed4954aea62124652e189c9_1649962444265","heading",0.170233346981441
"87","up",96.475,2,0.0166999999880773,"5ed4954aea62124652e189c9_1649962444265","heading",0.170262819788784
"88","up",96.4915,1,0.0165000000000077,"5ed4954aea62124652e189c9_1649962444265","heading",0.170291939628396
"89","up",96.5083000000119,0,0.0168000000119122,"5ed4954aea62124652e189c9_1649962444265","heading",0.170321588919657
"90","down",96.841599999994,1,0.333299999982131,"5ed4954aea62124652e189c9_1649962444265","heading",0.170909809679777
"91","down",96.875099999994,2,0.0334999999999894,"5ed4954aea62124652e189c9_1649962444265","heading",0.170968931778382
"92","down",96.9082000000179,3,0.0331000000238504,"5ed4954aea62124652e189c9_1649962444265","heading",0.171027347941524
"93","down",96.925099999994,4,0.016899999976161,"5ed4954aea62124652e189c9_1649962444265","heading",0.171057173716599
"94","down",96.9413000000119,5,0.016200000017875,"5ed4954aea62124652e189c9_1649962444265","heading",0.171085764104612
"95","down",96.9583000000119,7,0.0169999999999959,"5ed4954aea62124652e189c9_1649962444265","heading",0.171115766363606
"96","down",96.975099999994,8,0.0167999999821262,"5ed4954aea62124652e189c9_1649962444265","heading",0.171145415654815
"97","down",96.991599999994,9,0.0164999999999935,"5ed4954aea62124652e189c9_1649962444265","heading",0.171174535494427
"98","down",97.024900000006,10,0.0333000000119199,"5ed4954aea62124652e189c9_1649962444265","heading",0.1712333046253
"99","down",97.058099999994,11,0.033199999988085,"5ed4954aea62124652e189c9_1649962444265","heading",0.171291897272255
"100","down",97.158599999994,12,0.100499999999997,"5ed4954aea62124652e189c9_1649962444265","heading",0.17146926356807
"101","down",97.2417000000179,13,0.0831000000238475,"5ed4954aea62124652e189c9_1649962444265","heading",0.171615921669428
"102","down",97.274900000006,14,0.0331999999880708,"5ed4954aea62124652e189c9_1649962444265","heading",0.171674514316383
"103","down",97.2918000000119,15,0.0169000000059611,"5ed4954aea62124652e189c9_1649962444265","heading",0.17170434009151
"104","down",97.308400000006,16,0.0165999999940425,"5ed4954aea62124652e189c9_1649962444265","heading",0.171733636414988
"105","down",97.325099999994,17,0.0166999999880773,"5ed4954aea62124652e189c9_1649962444265","heading",0.171763109222331
"106","down",97.3418000000119,18,0.0167000000178774,"5ed4954aea62124652e189c9_1649962444265","heading",0.171792582029727
"107","down",97.3585,19,0.0166999999880915,"5ed4954aea62124652e189c9_1649962444265","heading",0.17182205483707
"108","down",97.3747000000179,20,0.016200000017875,"5ed4954aea62124652e189c9_1649962444265","heading",0.171850645225084
"109","down",97.408,21,0.0332999999821197,"5ed4954aea62124652e189c9_1649962444265","heading",0.171909414355904
"110","down",97.4747000000179,22,0.0667000000178746,"5ed4954aea62124652e189c9_1649962444265","heading",0.172027129101517
"111","up",97.958400000006,21,0.48369999998809,"5ed4954aea62124652e189c9_1649962444265","heading",0.172880781611802
"112","up",97.9752000000179,20,0.0168000000119122,"5ed4954aea62124652e189c9_1649962444265","heading",0.172910430903064
"113","up",98.008599999994,19,0.0333999999761545,"5ed4954aea62124652e189c9_1649962444265","heading",0.172969376517751
"114","up",98.0253000000119,18,0.0167000000178916,"5ed4954aea62124652e189c9_1649962444265","heading",0.172998849325147
"115","up",98.041900000006,17,0.0165999999940425,"5ed4954aea62124652e189c9_1649962444265","heading",0.173028145648624
"116","up",98.108400000006,16,0.0664999999999907,"5ed4954aea62124652e189c9_1649962444265","heading",0.173145507426452
"117","up",101.308800000012,15,3.20040000000597,"5ed4954aea62124652e189c9_1649962444265","heading",0.178793697407826
"118","up",101.325599999994,14,0.016799999982112,"5ed4954aea62124652e189c9_1649962444265","heading",0.178823346699035
"119","up",101.342,13,0.0164000000059588,"5ed4954aea62124652e189c9_1649962444265","heading",0.178852290054781
"120","up",101.358599999994,12,0.0165999999940425,"5ed4954aea62124652e189c9_1649962444265","heading",0.178881586378258
"121","up",101.375400000006,11,0.0168000000119122,"5ed4954aea62124652e189c9_1649962444265","heading",0.17891123566952
"122","up",101.408700000018,10,0.0333000000119341,"5ed4954aea62124652e189c9_1649962444265","heading",0.178970004800393
"123","down",102.392,11,0.983299999982108,"5ed4954aea62124652e189c9_1649962444265","heading",0.180705370757328
"124","down",102.4255,12,0.0335000000000036,"5ed4954aea62124652e189c9_1649962444265","heading",0.180764492855933
"125","down",102.442099999994,13,0.0165999999940425,"5ed4954aea62124652e189c9_1649962444265","heading",0.18079378917941
"126","down",102.475599999994,14,0.0335000000000036,"5ed4954aea62124652e189c9_1649962444265","heading",0.180852911278015
"127","down",102.492200000018,15,0.0166000000238427,"5ed4954aea62124652e189c9_1649962444265","heading",0.180882207601545
"128","down",102.509,16,0.016799999982112,"5ed4954aea62124652e189c9_1649962444265","heading",0.180911856892754
"129","down",102.525400000006,17,0.0164000000059588,"5ed4954aea62124652e189c9_1649962444265","heading",0.1809408002485
"130","down",102.542300000012,18,0.0169000000059611,"5ed4954aea62124652e189c9_1649962444265","heading",0.180970626023628
"131","down",103.275599999994,19,0.733299999982123,"5ed4954aea62124652e189c9_1649962444265","heading",0.18226478228948
"132","down",103.309300000012,20,0.0337000000178733,"5ed4954aea62124652e189c9_1649962444265","heading",0.182324257355869
"133","down",103.9255,21,0.616199999988083,"5ed4954aea62124652e189c9_1649962444265","heading",0.183411751002428
"134","down",103.958900000006,22,0.0334000000059547,"5ed4954aea62124652e189c9_1649962444265","heading",0.183470696617168
"135","down",114.676800000012,23,10.717900000006,"5ed4954aea62124652e189c9_1649962444265","heading",0.202386062009396
"136","down",114.710400000006,24,0.0335999999940384,"5ed4954aea62124652e189c9_1649962444265","heading",0.202445360591867
"137","down",119.927700000018,25,5.21730000001192,"5ed4954aea62124652e189c9_1649962444265","heading",0.211653053877029
"138","down",119.944,26,0.0162999999821238,"5ed4954aea62124652e189c9_1649962444265","heading",0.211681820748856
"139","down",127.578599999994,27,7.63459999999404,"5ed4954aea62124652e189c9_1649962444265","heading",0.225155658779003
"140","down",127.594400000006,28,0.0158000000119216,"5ed4954aea62124652e189c9_1649962444265","heading",0.225183543231501
"141","down",138.594200000018,29,10.9998000000119,"5ed4954aea62124652e189c9_1649962444265","heading",0.244596416671404
"142","down",138.6125,30,0.0182999999821334,"5ed4954aea62124652e189c9_1649962444265","heading",0.24462871322076
"143","down",144.504099999994,31,5.89159999999401,"5ed4954aea62124652e189c9_1649962444265","heading",0.255026437284679
"144","down",144.5295,32,0.0254000000059875,"5ed4954aea62124652e189c9_1649962444265","heading",0.255071264189304
"145","down",148.8185,33,4.28899999999999,"5ed4954aea62124652e189c9_1649962444265","heading",0.262640657649517
"146","down",148.847,34,0.0285000000000082,"5ed4954aea62124652e189c9_1649962444265","heading",0.262690955554301
"147","down",162.298300000012,35,13.4513000000119,"5ed4954aea62124652e189c9_1649962444265","heading",0.28643033122496
"148","down",162.332,36,0.0336999999880732,"5ed4954aea62124652e189c9_1649962444265","heading",0.286489806291297
"149","down",162.481800000012,37,0.149800000011936,"5ed4954aea62124652e189c9_1649962444265","heading",0.286754179138215
"150","down",163.081599999994,38,0.59979999998211,"5ed4954aea62124652e189c9_1649962444265","heading",0.287812729429029
"151","down",163.198300000012,39,0.116700000017886,"5ed4954aea62124652e189c9_1649962444265","heading",0.288018686112858
"152","up",163.487,38,0.288699999988069,"5ed4954aea62124652e189c9_1649962444265","heading",0.288528195064099
"153","up",163.515300000012,37,0.0283000000119387,"5ed4954aea62124652e189c9_1649962444265","heading",0.288578140001151
"154","down",164.549,38,1.03369999998807,"5ed4954aea62124652e189c9_1649962444265","heading",0.290402453831818
"155","down",164.665800000012,39,0.116800000011921,"5ed4954aea62124652e189c9_1649962444265","heading",0.290608586999513
"156","down",167.866,40,3.20019999998809,"5ed4954aea62124652e189c9_1649962444265","heading",0.296256424013102
"157","down",167.982700000018,41,0.116700000017858,"5ed4954aea62124652e189c9_1649962444265","heading",0.296462380696931
"158","down",183.818099999994,42,15.8353999999762,"5ed4954aea62124652e189c9_1649962444265","heading",0.324409308465568
"159","down",183.917800000012,43,0.0997000000178616,"5ed4954aea62124652e189c9_1649962444265","heading",0.324585262890403
"160","down",187.600800000012,44,3.68300000000002,"5ed4954aea62124652e189c9_1649962444265","heading",0.331085164059433
"161","down",187.684200000018,45,0.0834000000059518,"5ed4954aea62124652e189c9_1649962444265","heading",0.331232351612388
"162","down",200.635800000012,46,12.951599999994,"5ed4954aea62124652e189c9_1649962444265","heading",0.354089837352481
"163","down",200.718599999994,47,0.0827999999821145,"5ed4954aea62124652e189c9_1649962444265","heading",0.354235966002136
"164","down",206.603200000018,48,5.88460000002385,"5ed4954aea62124652e189c9_1649962444265","heading",0.364621336194757
"165","down",206.669700000018,49,0.0664999999999907,"5ed4954aea62124652e189c9_1649962444265","heading",0.364738697972585
"166","down",208.069900000006,50,1.40019999998808,"5ed4954aea62124652e189c9_1649962444265","heading",0.367209825210379
"167","down",208.136599999994,51,0.0666999999880886,"5ed4954aea62124652e189c9_1649962444265","heading",0.367327539955939
"168","down",215.087900000006,52,6.95130000001191,"5ed4954aea62124652e189c9_1649962444265","heading",0.379595463658451
"169","down",215.1545,53,0.0665999999940539,"5ed4954aea62124652e189c9_1649962444265","heading",0.379713001920145
"170","down",225.988400000006,54,10.8339000000059,"5ed4954aea62124652e189c9_1649962444265","heading",0.398833088609035
"171","down",226.038200000018,55,0.0498000000119418,"5ed4954aea62124652e189c9_1649962444265","heading",0.39892097757952
"172","down",226.538200000018,56,0.5,"5ed4954aea62124652e189c9_1649962444265","heading",0.399803396961685
